year,track,portSize,ratio,port,set
2013,free,1,0.2754873158087926,"('chuffed',)",all
2013,free,2,0.4147301107157773,"('chuffed', 'opturion_cpx')",all
2013,free,3,0.5440171835478049,"('chuffed', 'or_tools', 'opturion_cpx')",all
2013,free,4,0.631124190512976,"('chuffed', 'izplus', 'or_tools', 'opturion_cpx')",all
2013,free,5,0.7199419761916445,"('chuffed', 'izplus', 'or_tools', 'opturion_cpx', 'cplex')",all
2013,free,6,0.786361113974545,"('chuffed', 'izplus', 'or_tools', 'opturion_cpx', 'cplex', 'gurobi')",all
2013,free,7,0.8410110081055099,"('chuffed', 'izplus', 'or_tools', 'jacop', 'opturion_cpx', 'cplex', 'gurobi')",all
2013,free,8,0.8892727015120447,"('chuffed', 'izplus', 'or_tools', 'jacop', 'mistral', 'opturion_cpx', 'cplex', 'gurobi')",all
2013,free,9,0.9239643255805416,"('chuffed', 'gecode', 'izplus', 'or_tools', 'jacop', 'mistral', 'opturion_cpx', 'cplex', 'gurobi')",all
2013,free,10,0.9557720871573882,"('chuffed', 'gecode', 'izplus', 'or_tools', 'jacop', 'mistral', 'opturion_cpx', 'lazyfd', 'cplex', 'gurobi')",all
2013,free,11,0.9827630426894582,"('chuffed', 'gecode', 'g12_fd', 'izplus', 'or_tools', 'jacop', 'mistral', 'opturion_cpx', 'lazyfd', 'cplex', 'gurobi')",all
2013,free,12,0.9910158643419338,"('chuffed', 'gecode', 'g12_fd', 'izplus', 'or_tools', 'choco', 'jacop', 'mistral', 'opturion_cpx', 'lazyfd', 'cplex', 'gurobi')",all
2013,free,13,0.9954985370245328,"('chuffed', 'gecode', 'g12_fd', 'izplus', 'or_tools', 'choco', 'jacop', 'mistral', 'opturion_cpx', 'fzn2smt', 'lazyfd', 'cplex', 'gurobi')",all
2014,free,1,0.3155417377376616,"('Chuffed',)",all
2014,free,2,0.5026690500843738,"('Chuffed', 'iZplus')",all
2014,free,3,0.6171874790102789,"('Chuffed', 'OR_Tools', 'iZplus')",all
2014,free,4,0.7079517239087098,"('Chuffed', 'Opturion_CPX', 'OR_Tools', 'iZplus')",all
2014,free,5,0.8022508691259959,"('Chuffed', 'Opturion_CPX', 'OR_Tools', 'iZplus', 'Picat_SAT')",all
2014,free,6,0.8723124052290472,"('Chuffed', 'Opturion_CPX', 'OR_Tools', 'iZplus', 'HaifaCSP', 'Picat_SAT')",all
2014,free,7,0.9221048567845428,"('Chuffed', 'Gecode', 'Opturion_CPX', 'OR_Tools', 'iZplus', 'HaifaCSP', 'Picat_SAT')",all
2014,free,8,0.9534100896249076,"('Chuffed', 'Gecode', 'Opturion_CPX', 'OR_Tools', 'iZplus', 'HaifaCSP', 'Picat_SAT', 'Mistral')",all
2014,free,9,0.972779204444074,"('Chuffed', 'Gecode', 'Opturion_CPX', 'OR_Tools', 'G12_LazyFD', 'iZplus', 'HaifaCSP', 'Picat_SAT', 'Mistral')",all
2014,free,10,0.9912730941040286,"('Chuffed', 'Gecode', 'Opturion_CPX', 'OR_Tools', 'G12_LazyFD', 'iZplus', 'HaifaCSP', 'Picat_SAT', 'Mistral', 'Choco')",all
2014,free,11,0.9916016796640672,"('Chuffed', 'Gecode', 'Opturion_CPX', 'OR_Tools', 'G12_LazyFD', 'iZplus', 'HaifaCSP', 'Picat_SAT', 'Mistral', 'SICStus_Prolog', 'Choco')",all
2015,free,1,0.2499058547213903,"('chuffed',)",all
2015,free,2,0.4040809881848169,"('chuffed', 'MZN_CPLEX')",all
2015,free,3,0.4971112226970043,"('chuffed', 'iZplus', 'MZN_CPLEX')",all
2015,free,4,0.5881391867879673,"('OscaR_CBLS', 'chuffed', 'iZplus', 'MZN_CPLEX')",all
2015,free,5,0.6586681633881251,"('OscaR_CBLS', 'chuffed', 'iZplus', 'Picat_SAT', 'MZN_CPLEX')",all
2015,free,6,0.7270413317885952,"('OscaR_CBLS', 'chuffed', 'OR_Tools', 'iZplus', 'Picat_SAT', 'MZN_CPLEX')",all
2015,free,7,0.7911050635542657,"('OscaR_CBLS', 'chuffed', 'OR_Tools', 'Mistral', 'iZplus', 'Picat_SAT', 'MZN_CPLEX')",all
2015,free,8,0.846701724051219,"('OscaR_CBLS', 'chuffed', 'OR_Tools', 'Mistral', 'iZplus', 'Picat_SAT', 'Choco', 'MZN_CPLEX')",all
2015,free,9,0.8884591142310205,"('OscaR_CBLS', 'chuffed', 'OR_Tools', 'Opturion_CPX', 'Mistral', 'iZplus', 'Picat_SAT', 'Choco', 'MZN_CPLEX')",all
2015,free,10,0.9251826364158572,"('OscaR_CBLS', 'chuffed', 'OR_Tools', 'Opturion_CPX', 'Mistral', 'iZplus', 'Picat_SAT', 'Choco', 'YACS', 'MZN_CPLEX')",all
2015,free,11,0.9619456392438296,"('OscaR_CBLS', 'chuffed', 'OR_Tools', 'Opturion_CPX', 'Mistral', 'JaCoP', 'iZplus', 'Picat_SAT', 'Choco', 'YACS', 'MZN_CPLEX')",all
2015,free,12,0.9815807590877776,"('OscaR_CBLS', 'chuffed', 'OR_Tools', 'Opturion_CPX', 'Mistral', 'JaCoP', 'iZplus', 'Picat_SAT', 'Choco', 'G12_FD', 'YACS', 'MZN_CPLEX')",all
2015,free,13,0.9918889832133756,"('OscaR_CBLS', 'chuffed', 'OR_Tools', 'Opturion_CPX', 'Mistral', 'JaCoP', 'iZplus', 'Picat_SAT', 'Choco', 'G12_FD', 'YACS', 'MZN_CPLEX', 'MZN_Gurobi')",all
2015,free,14,0.9980145726512204,"('OscaR_CBLS', 'MinisatID', 'chuffed', 'OR_Tools', 'Opturion_CPX', 'Mistral', 'JaCoP', 'iZplus', 'Picat_SAT', 'Choco', 'G12_FD', 'YACS', 'MZN_CPLEX', 'MZN_Gurobi')",all
2015,free,15,1.0,"('OscaR_CBLS', 'MinisatID', 'chuffed', 'OR_Tools', 'Gecode', 'Opturion_CPX', 'Mistral', 'JaCoP', 'iZplus', 'Picat_SAT', 'Choco', 'G12_FD', 'YACS', 'MZN_CPLEX', 'MZN_Gurobi')",all
2016,free,1,0.3944223283060782,"('LCG_Glucose_UC',)",all
2016,free,2,0.5743638240494053,"('MZN_Gurobi', 'LCG_Glucose_UC')",all
2016,free,3,0.677823963101346,"('MZN_Gurobi', 'LCG_Glucose_UC', 'Chuffed')",all
2016,free,4,0.7549658541317698,"('iZplus', 'MZN_Gurobi', 'LCG_Glucose_UC', 'Chuffed')",all
2016,free,5,0.8272679672460692,"('iZplus', 'MZN_Gurobi', 'LCG_Glucose_UC', 'Picat_SAT', 'Chuffed')",all
2016,free,6,0.8979393953541605,"('iZplus', 'MZN_Gurobi', 'LCG_Glucose_UC', 'Picat_SAT', 'LCG_Glucose', 'Chuffed')",all
2016,free,7,0.9345111951703023,"('iZplus', 'MZN_Gurobi', 'LCG_Glucose_UC', 'Picat_SAT', 'LCG_Glucose', 'Chuffed', 'HaifaCSP')",all
2016,free,8,0.970893614552854,"('iZplus', 'MZN_Gurobi', 'LCG_Glucose_UC', 'Picat_SAT', 'LCG_Glucose', 'Chuffed', 'HaifaCSP', 'OR_Tools')",all
2016,free,9,0.9918993180269732,"('iZplus', 'MZN_CPLEX', 'MZN_Gurobi', 'LCG_Glucose_UC', 'Picat_SAT', 'LCG_Glucose', 'Chuffed', 'HaifaCSP', 'OR_Tools')",all
2016,free,10,0.9966394720068592,"('iZplus', 'MZN_CPLEX', 'MZN_Gurobi', 'LCG_Glucose_UC', 'Picat_SAT', 'LCG_Glucose', 'Chuffed', 'HaifaCSP', 'Mistral', 'OR_Tools')",all
2016,free,11,0.9979521649766296,"('iZplus', 'MZN_CPLEX', 'MZN_Gurobi', 'LCG_Glucose_UC', 'Picat_SAT', 'LCG_Glucose', 'MZN_SCIP', 'Chuffed', 'HaifaCSP', 'Mistral', 'OR_Tools')",all
2016,free,12,0.9982590895014664,"('iZplus', 'MZN_CPLEX', 'MZN_Gurobi', 'LCG_Glucose_UC', 'Picat_SAT', 'LCG_Glucose', 'MZN_SCIP', 'Chuffed', 'HaifaCSP', 'Choco', 'Mistral', 'OR_Tools')",all
2017,free,1,0.1786370751675214,"('mzn_gurobi',)",all
2017,free,2,0.3287710190651478,"('or_tools_lcg', 'mzn_gurobi')",all
2017,free,3,0.4232993465548149,"('mzn_gurobi', 'lcg_glucose', 'choco4')",all
2017,free,4,0.5033772675336541,"('or_tools_lcg', 'mzn_gurobi', 'choco4', 'picat_sat')",all
2017,free,5,0.5731280723597352,"('or_tools_lcg', 'mzn_gurobi', 'lcg_glucose', 'choco4', 'concrete')",all
2017,free,6,0.6461621617477121,"('or_tools_lcg', 'mzn_gurobi', 'chuffed', 'choco4', 'concrete', 'picat_sat')",all
2017,free,7,0.7123251112460558,"('or_tools_lcg', 'mzn_gurobi', 'izplus', 'chuffed', 'choco4', 'concrete', 'picat_sat')",all
2017,free,8,0.7734174199556231,"('or_tools_lcg_core', 'or_tools_lcg', 'mzn_gurobi', 'izplus', 'chuffed', 'choco4', 'concrete', 'picat_sat')",all
2017,free,9,0.8320635969917284,"('or_tools_lcg_core', 'or_tools_lcg', 'mzn_gurobi', 'izplus', 'chuffed', 'gecode', 'choco4', 'concrete', 'picat_sat')",all
2017,free,10,0.8869488290072948,"('or_tools_lcg_core', 'or_tools_lcg', 'mzn_gurobi', 'izplus', 'chuffed', 'gecode', 'choco4', 'concrete', 'oscar', 'picat_sat')",all
2017,free,11,0.9307644803343738,"('or_tools_lcg_core', 'or_tools_lcg', 'mzn_gurobi', 'izplus', 'chuffed', 'lcg_glucose', 'gecode', 'choco4', 'concrete', 'oscar', 'picat_sat')",all
2017,free,12,0.9582802093056858,"('or_tools_lcg_core', 'or_tools_lcg', 'mzn_gurobi', 'izplus', 'mistral', 'chuffed', 'lcg_glucose', 'gecode', 'choco4', 'concrete', 'oscar', 'picat_sat')",all
2017,free,13,0.9801906323164667,"('or_tools_lcg_core', 'or_tools_lcg', 'mzn_gurobi', 'izplus', 'mistral', 'chuffed', 'lcg_glucose', 'gecode', 'choco4', 'concrete', 'oscar', 'picat_sat', 'yuck')",all
2017,free,14,0.9903180978064168,"('or_tools_lcg_core', 'or_tools_lcg', 'mzn_gurobi', 'izplus', 'mistral', 'chuffed', 'lcg_glucose', 'haifacsp', 'gecode', 'choco4', 'concrete', 'oscar', 'picat_sat', 'yuck')",all
2017,free,15,0.9993235945911216,"('or_tools_lcg_core', 'or_tools_lcg', 'mzn_gurobi', 'izplus', 'mistral', 'chuffed', 'lcg_glucose', 'haifacsp', 'gecode', 'or_tools_cp', 'choco4', 'concrete', 'oscar', 'picat_sat', 'yuck')",all
2017,free,16,1.0,"('or_tools_lcg_core', 'or_tools_lcg', 'mzn_gurobi', 'izplus', 'mistral', 'chuffed', 'lcg_glucose', 'haifacsp', 'gecode', 'or_tools_cp', 'choco4', 'choco5', 'concrete', 'oscar', 'picat_sat', 'yuck')",all
2018,free,1,0.2240865367060133,"('or_tools',)",all
2018,free,2,0.377825343319662,"('chuffed', 'mzn_cplex')",all
2018,free,3,0.5084085833219019,"('or_tools', 'chuffed', 'mzn_cplex')",all
2018,free,4,0.5906059683238639,"('or_tools', 'chuffed', 'mzn_cplex', 'picatsat')",all
2018,free,5,0.6794975535071412,"('or_tools', 'chuffed', 'izplus', 'mzn_cplex', 'picatsat')",all
2018,free,6,0.7591338412325767,"('or_tools', 'chuffed', 'izplus', 'mzn_cplex', 'picatsat', 'yuck')",all
2018,free,7,0.8457269389418258,"('or_tools', 'chuffed', 'choco', 'izplus', 'mzn_cplex', 'picatsat', 'yuck')",all
2018,free,8,0.9026471824999308,"('or_tools', 'chuffed', 'haifacsp', 'choco', 'izplus', 'mzn_cplex', 'picatsat', 'yuck')",all
2018,free,9,0.942943806111312,"('or_tools', 'chuffed', 'gecode', 'haifacsp', 'choco', 'izplus', 'mzn_cplex', 'picatsat', 'yuck')",all
2018,free,10,0.9675225503406668,"('or_tools', 'chuffed', 'gecode', 'jacop', 'haifacsp', 'choco', 'izplus', 'mzn_cplex', 'picatsat', 'yuck')",all
2018,free,11,0.9870705812291009,"('or_tools', 'chuffed', 'gecode', 'jacop', 'haifacsp', 'choco', 'izplus', 'mzn_cplex', 'oscarcbls', 'picatsat', 'yuck')",all
2018,free,12,1.0,"('or_tools', 'chuffed', 'gecode', 'jacop', 'haifacsp', 'choco', 'concrete', 'izplus', 'mzn_cplex', 'oscarcbls', 'picatsat', 'yuck')",all
2019,free,1,0.3710873210342551,"('chuffed',)",all
2019,free,2,0.5471578606011891,"('or_tools', 'chuffed')",all
2019,free,3,0.6426366070243513,"('or_tools', 'chuffed', 'yuck')",all
2019,free,4,0.7347270636046495,"('or_tools', 'chuffed', 'picatsat', 'yuck')",all
2019,free,5,0.8352019704146806,"('or_tools', 'chuffed', 'picatsat', 'izplus', 'yuck')",all
2019,free,6,0.896220931680093,"('or_tools', 'chuffed', 'picatsat', 'mzn_cplex', 'izplus', 'yuck')",all
2019,free,7,0.9475477936938996,"('or_tools', 'chuffed', 'picatsat', 'mzn_cplex', 'izplus', 'yuck', 'sicstus')",all
2019,free,8,0.9668943632778938,"('or_tools', 'chuffed', 'picatsat', 'mzn_cplex', 'izplus', 'yuck', 'concrete', 'sicstus')",all
2019,free,9,0.9858331313228528,"('or_tools', 'chuffed', 'picatsat', 'mzn_cplex', 'izplus', 'yuck', 'concrete', 'gecode', 'sicstus')",all
2019,free,10,0.998297440771165,"('or_tools', 'chuffed', 'picatsat', 'mzn_cplex', 'izplus', 'yuck', 'concrete', 'oscarcbls', 'gecode', 'sicstus')",all
2019,free,11,0.9990856234592328,"('or_tools', 'chuffed', 'picatsat', 'mzn_cplex', 'izplus', 'yuck', 'concrete', 'oscarcbls', 'gecode', 'jacop', 'sicstus')",all
2020,free,1,0.4584140406923832,"('or_tools',)",all
2020,free,2,0.6486790790174033,"('or_tools', 'geas')",all
2020,free,3,0.7498797434676254,"('or_tools', 'chuffed', 'geas')",all
2020,free,4,0.8333391045979309,"('or_tools', 'chuffed', 'flatzingo', 'geas')",all
2020,free,5,0.8884135540511573,"('or_tools', 'chuffed', 'gecode', 'flatzingo', 'geas')",all
2020,free,6,0.9378299626303416,"('or_tools', 'chuffed', 'gecode', 'mistral', 'flatzingo', 'geas')",all
2020,free,7,0.9643530570095744,"('or_tools', 'chuffed', 'gecode', 'mistral', 'picatsat', 'flatzingo', 'geas')",all
2020,free,8,0.9877763012397742,"('or_tools', 'chuffed', 'gecode', 'mzn_cplex', 'mistral', 'picatsat', 'flatzingo', 'geas')",all
2020,free,9,0.993956947426052,"('or_tools', 'chuffed', 'gecode', 'mzn_cplex', 'mistral', 'picatsat', 'choco', 'flatzingo', 'geas')",all
