solver,bordaScoreAll,bordaRankAll,bordaScore,bordaRank,shapleyValue,shapleyRank,year,track
choco,9.63703094769081,6.0,9.63703094769081,6.0,3.1415182573597766,8.0,2013,free
fzn2smt,8.773363061023812,8.0,8.773363061023812,8.0,5.393594830105659,6.0,2013,free
gecode,11.304690882310844,4.0,11.304690882310844,4.0,7.965929060133275,4.0,2013,free
izplus,12.016553026745463,3.0,12.016553026745463,3.0,20.486292368856745,2.0,2013,free
jacop,8.8102707443133,7.0,8.8102707443133,7.0,4.926255093452963,7.0,2013,free
mistral,9.923602923595885,5.0,9.923602923595885,5.0,5.97206260858527,5.0,2013,free
opturion_cpx,13.753538284320106,1.0,13.753538284320106,1.0,30.1152777515738,1.0,2013,free
or_tools,12.754615926271471,2.0,12.754615926271471,2.0,17.17269478258326,3.0,2013,free
picat,6.0263342037283065,9.0,6.0263342037283065,9.0,1.4153234517600473,9.0,2013,free
Choco,9.662267294105396,3.0,12.4614449632613,3.0,4.229017471429102,8.0,2014,free
Concrete,5.082675630889339,12.0,,,,,2014,free
HaifaCSP,9.161806883916121,4.0,12.139304630004991,4.0,6.8405018477081745,5.0,2014,free
JaCoP,6.795672304804191,10.0,,,,,2014,free
MinisatID,7.2583907277042625,8.0,,,,,2014,free
Mistral,8.3654933627589,6.0,10.790014367221344,6.0,5.902561085558918,7.0,2014,free
OR_Tools,8.991691077271176,5.0,11.689085767408276,5.0,11.30169218920577,4.0,2014,free
Opturion_CPX,11.730767446769727,2.0,16.0237511958752,2.0,22.893552016292716,2.0,2014,free
Picat_CP,5.286609369226526,11.0,,,,,2014,free
Picat_SAT,7.151794633179925,9.0,9.46192802521328,8.0,12.619151513036714,3.0,2014,free
SICStus_Prolog,8.342483042743446,7.0,10.517266401640834,7.0,6.599774313111678,6.0,2014,free
iZplus,12.17034822663099,1.0,16.917204649374774,1.0,26.702269154891685,1.0,2014,free
Choco,8.13445340962553,6.0,9.183350786893532,6.0,5.715339279491129,8.0,2015,free
Concrete,5.797790383336341,11.0,,,,,2015,free
JaCoP,8.53057596149621,5.0,9.78833396981371,5.0,10.046354150675038,5.0,2015,free
MinisatID,8.128343166123823,7.0,9.047511933568341,7.0,5.524445289937603,9.0,2015,free
MinisatID_MP,6.296146703741419,10.0,,,,,2015,free
Mistral,8.919219582726699,4.0,10.307427951573795,4.0,8.942193462720997,6.0,2015,free
OR_Tools,8.976347340479364,3.0,10.414978852070341,3.0,12.609775745748127,3.0,2015,free
Opturion_CPX,10.477166597383148,1.0,11.93052280762882,1.0,12.826249077431045,2.0,2015,free
OscaR_CBLS,4.698871210180651,13.0,5.328543438061161,11.0,7.5317030607709805,7.0,2015,free
Picat_CP,6.336353132456864,9.0,7.135430790534182,9.0,1.560212265033515,11.0,2015,free
Picat_SAT,7.92531351723218,8.0,9.021863043624002,8.0,12.297251092999334,4.0,2015,free
YACS,4.893176205918552,12.0,5.576615835811971,10.0,2.608580032677861,10.0,2015,free
iZplus,9.886242789299216,2.0,11.26542059042014,2.0,15.219504257553357,1.0,2015,free
Choco,8.954683087472837,4.0,10.947267723390901,4.0,4.605099316286234,4.0,2016,free
Concrete,5.613606732298704,10.0,,,,,2016,free
HaifaCSP,11.358324202153165,2.0,15.07272555484319,2.0,22.855497212120127,3.0,2016,free
JaCoP,7.925197144514475,7.0,8.887358548373392,8.0,3.654268828886134,7.0,2016,free
MinisatID,8.520222550018008,5.0,10.561957431681627,5.0,3.0498096303617874,8.0,2016,free
Mistral,8.463852624779884,6.0,10.005391354136187,6.0,4.383390802705015,5.0,2016,free
OR_Tools,7.826096811728923,8.0,9.032742877265626,7.0,4.175600667891486,6.0,2016,free
OscaR_CBLS,4.615384615384615,12.0,,,,,2016,free
Picat_CP,4.759081680029429,11.0,,,,,2016,free
Picat_SAT,11.386114852046026,1.0,15.116514444986542,1.0,25.355879558348665,1.0,2016,free
SICStus_Prolog,6.40783447683804,9.0,6.717843573751406,9.0,0.943258810677497,9.0,2016,free
Yuck,3.4358974358974357,13.0,,,,,2016,free
iZplus,10.733703786838456,3.0,13.658198491571126,3.0,25.283461740521602,2.0,2016,free
choco4,7.733204438028188,5.0,8.614581236080763,5.0,7.728206564689764,5.0,2017,free
choco5,6.455870220889194,9.0,7.167182577081698,8.0,1.4591856565951726,12.0,2017,free
concrete,5.1842408349756255,12.0,5.766741806413793,11.0,6.665238844438881,6.0,2017,free
haifacsp,5.90111933800767,10.0,6.458603134203416,10.0,0.9856464590784254,13.0,2017,free
izplus,9.070559310586342,1.0,10.262076120167889,1.0,11.390266311907354,4.0,2017,free
jacop,7.258636696601379,7.0,7.826504012376621,7.0,4.672424135087381,7.0,2017,free
mistral,7.787719616108055,4.0,8.705260521218307,4.0,3.849376537475334,9.0,2017,free
or_tools_cp,6.552726083636614,8.0,6.9832345028721265,9.0,2.9763718953194918,11.0,2017,free
or_tools_lcg,8.390171469639297,2.0,9.592561271593594,2.0,17.89855934816419,2.0,2017,free
or_tools_lcg_core,7.48184512654284,6.0,8.40061940092845,6.0,14.486895517721218,3.0,2017,free
oscar,4.4033426668793005,15.0,4.7647111328955,13.0,4.1652803482094765,8.0,2017,free
picat_cp,4.537526082920689,14.0,,,,,2017,free
picat_sat,7.98859142951662,3.0,9.007357201449967,3.0,18.14088611511319,1.0,2017,free
sicstus,5.304713939848585,11.0,,,,,2017,free
yuck,4.949732745819601,13.0,5.450567082717874,12.0,3.800605076123719,10.0,2017,free
choco,11.628459404714699,4.0,12.35481270303077,4.0,9.082608403603206,5.0,2018,free
concrete,6.999847564105087,8.0,7.382582197221442,8.0,1.0799107612304826,9.0,2018,free
haifacsp,10.906267665396458,5.0,11.603258332641774,5.0,9.724966055011294,4.0,2018,free
izplus,11.734611095118568,3.0,12.755516636183867,3.0,11.348458411512695,3.0,2018,free
jacop,9.086643901195503,6.0,9.315372514628498,6.0,6.412616810950285,6.0,2018,free
or_tools,15.526935895165174,1.0,17.028336932331097,1.0,34.6126703899958,1.0,2018,free
oscarcbls,6.7036055828315995,9.0,7.129506978539499,9.0,2.2442221351922673,8.0,2018,free
picatsat,12.76185051960012,2.0,13.780393766302154,2.0,17.67471398331808,2.0,2018,free
sicstus,6.580096124393181,10.0,,,,,2018,free
yuck,8.071682247479607,7.0,8.650219939120896,7.0,5.67903336988952,7.0,2018,free
choco,10.448687713234378,6.0,10.448687713234378,6.0,1.6228707500076645,8.0,2019,free
concrete,10.061951652122184,7.0,10.061951652122184,7.0,2.104667675238482,7.0,2019,free
izplus,13.620836076822066,2.0,13.620836076822066,2.0,10.769266130855469,3.0,2019,free
jacop,11.31814764732287,4.0,11.31814764732287,4.0,5.195943475956495,6.0,2019,free
or_tools,16.266396163123314,1.0,16.266396163123314,1.0,38.84873656434625,1.0,2019,free
oscarcbls,6.00312381991851,9.0,6.00312381991851,9.0,1.335772636955418,9.0,2019,free
picatsat,12.758771112850546,3.0,12.758771112850546,3.0,20.18242523131189,2.0,2019,free
sicstus,10.77366324503656,5.0,10.77366324503656,5.0,8.931478655670304,4.0,2019,free
yuck,7.748422569569568,8.0,7.748422569569568,8.0,7.7521442318501315,5.0,2019,free
choco,10.092756883610567,4.0,10.808327207239016,4.0,3.004222518325819,7.0,2020,free
flatzingo,8.935729718959374,5.0,9.460272492584949,5.0,10.145687796592695,2.0,2020,free
jacop,7.975802563575916,6.0,8.35235067048382,6.0,3.079391445417185,6.0,2020,free
mistral,10.70117372810867,3.0,11.505508497615763,3.0,8.43154108733714,3.0,2020,free
optimathsat_bv,5.96056412689318,10.0,,,,,2020,free
optimathsat_int,7.589032368751127,7.0,7.970447742222023,8.0,1.0893497598347939,10.0,2020,free
or_tools,15.517678865018901,1.0,16.901679113509225,1.0,56.93015764544776,1.0,2020,free
oscarcbls,4.677158429690781,11.0,4.897649799358416,10.0,2.5245190222270213,8.0,2020,free
picatsat,11.377063948652994,2.0,12.119767865963963,2.0,4.972535630815221,5.0,2020,free
sicstus,7.57786704573434,8.0,8.089359530049054,7.0,5.327976697547091,4.0,2020,free
yuck,6.595172321004151,9.0,6.894637080973772,9.0,1.5716514815045812,9.0,2020,free
choco_solver_4_10_7,9.47917286428013,4.0,10.770322932997423,4.0,4.816126405428866,7.0,2021,free
coin_or_cbc,7.429432319264639,7.0,8.190709364435062,7.0,5.012788177122052,5.0,2021,free
flatzingo,7.13616771288594,9.0,7.785612026949552,8.0,1.6898442678838839,9.0,2021,free
fzn_oscar_cbls,4.656406171190871,11.0,,,,,2021,free
izplus,10.699876996329634,3.0,12.28947056942723,3.0,4.889438825946643,6.0,2021,free
jacop,7.516051561079803,6.0,8.399718643096541,6.0,5.081988068538766,4.0,2021,free
mistral_2_0,8.720641512830852,5.0,9.728202965527029,5.0,1.9288848681577608,8.0,2021,free
or_tools_cp_sat,15.004679092312228,1.0,18.08251120800693,1.0,49.316829996766174,1.0,2021,free
picatsat,11.8460608483467,2.0,13.839002236341676,2.0,12.03497008887301,2.0,2021,free
sicstus_prolog,7.18006608713512,8.0,,,,,2021,free
yuck,6.331444834344087,10.0,6.914450053218553,9.0,11.187531944116627,3.0,2021,free
